Type,J1,J2,J3,J4,J5,J6,X,Y,Z,Rx,Ry,Rz,Speed,Fillet,Radius
MoveJ,41.52950066180542,-46.64990133490752,-39.1074692907438,63.23844683052706,16.596589041229436,-128.00567929108206,0.49639979165171944,0.43898811681279576,0.429837192031745,100.74349106336349,152.31167788353773,91.8157886981478,200.0,1,10.0
MoveL,47.203757546167886,-63.19231521985179,-50.76873022663041,32.08002373723912,40.84477490718091,-92.37353636487305,0.4964018671774784,0.4389802697369189,0.22984472123883543,100.74432037418886,152.31161605351093,91.81549149656685,200.0,1,10.0
MoveL,46.68544800813841,-85.8132556253285,-37.92807334710994,20.135328840502567,49.66685077931948,-80.83522683323552,0.5160231013339366,0.4439475376991411,0.05152052870627602,103.12552392714205,153.35840924480553,97.25632255595896,200.0,1,10.0
MoveL,47.20380294421798,-63.19817156831512,-50.77181729403744,32.080676390395055,40.844448580602936,-92.37353636487305,0.4963917255718748,0.4389812047781708,0.22974547354795363,100.73601551286397,152.31330510309283,91.81182636640143,200.0,1,10.0
MoveL,41.5278663320017,-46.64322782154233,-39.107560086844,63.23969774907595,16.59544689820654,-128.006658270816,0.4964041660590497,0.43898638598277123,0.4296085785674005,100.72319407389725,152.31346123932823,91.80630443653314,200.0,1,10.0
MoveJ,-14.135500064567047,-46.66179562403458,-39.11663969686467,63.23953458578696,16.596589041229436,-128.0051354134521,0.1367795771127303,-0.3365657192917898,0.4297032972886167,100.77412942710613,154.30619071354192,36.197469978943296,200.0,1,10.0
MoveJ,-14.133003171811366,-46.70365262622983,-39.1486453221875,63.24312417814463,16.596371490177454,51.86770599667731,0.13686074123652242,-0.33659445073507044,0.4287063580885616,79.31892872035475,-25.559076482147443,36.13789023969301,200.0,1,10.0
MoveJ,-14.134909889915704,-46.661250847433344,-39.11654890076446,63.23953458578696,16.59653465346644,-128.00508102568912,0.13678471476982235,-0.33655997085415224,0.42971259682031254,100.7747489563475,154.30608272698154,36.19835172229458,200.0,1,10.0
MoveL,41.52891048715408,-46.657301217074355,-39.11795624031766,63.23937142249798,16.596589041229436,-128.0050266379261,0.496404188884008,0.438986156951922,0.429613144803805,100.7236084483631,152.31345054916704,91.80648651790112,200.0,1,10.0
MoveL,47.91410083613435,-81.27567511945267,-52.02094464262998,19.251636467358942,58.96846355778544,-78.00505081026195,0.4709569790383989,0.4438477036236509,0.05121334291250352,103.09896937976308,153.3619416548243,97.23828333457578,200.0,1,10.0
MoveL,49.53880625323157,-77.52588697701957,-65.68112712261538,19.412896184639273,68.45472279161962,-75.574733620828,0.41520590098353893,0.44351982521081207,0.04836725164658105,102.83485904015185,153.39451008476095,97.1080970544871,200.0,1,10.0
MoveL,46.698749636818675,-84.60839137558666,-39.01912468524276,20.193414971381284,49.54616433323346,-80.90973806853874,0.5159629488868985,0.44390549665492696,0.061250942101012174,103.10415877788547,153.36008132784116,97.24529973091263,200.0,1,10.0
